ne,alpha avg,alpha max,alpha min,tau avg,tau max,tau min
79,111.04400,209.35300,72.35420,2.40873,3.4641,1.63299
2663,105.61400,339.81200,45.94480,2.29422,4.47214,1.29099
5891,104.06800,443.04200,45.94480,2.29616,4.47214,1.29099
25086,103.87300,611.41100,45.94480,2.29557,5.2915,1.29099
64518,103.42500,811.23800,45.94480,2.31353,6.9282,1.29099
181205,102.95600,870.31200,45.94480,2.32216,6.9282,1.29099
497149,103.81100,1007.65000,45.94480,2.3373,8,1.29099
1373530,102.99600,963.65800,45.94480,2.35128,8.94427,1.29099
3955650,103.70700,1380.76000,43.22870,2.35829,12,1.06904
11574400,103.05900,1410.04000,43.22870,2.36772,12.8062,1.06904
